AAPL,"Apple Inc (AAPL) Prices, Dividends, Splits and Trading Volume"
ABC,"AmerisourceBergen Corp. (ABC) Prices, Dividends, Splits and Trading Volume"
AA,"Alcoa Inc. (AA) Prices, Dividends, Splits and Trading Volume"
ABBV,"AbbVie Inc. (ABBV) Prices, Dividends, Splits and Trading Volume"
ACE,"ACE Ltd (ACE) Prices, Dividends, Splits and Trading Volume"
AGN,"Allergan Inc. (AGN) Prices, Dividends, Splits and Trading Volume"
ADP,"Automatic Data Processing Inc. (ADP) Prices, Dividends, Splits and Trading Volume"
ADSK,"Autodesk Inc. (ADSK) Prices, Dividends, Splits and Trading Volume"
ABT,"Abbott Laboratories (ABT) Prices, Dividends, Splits and Trading Volume"
AEE,"Ameren Corp. (AEE) Prices, Dividends, Splits and Trading Volume"
ACN,"Accenture plc (ACN) Prices, Dividends, Splits and Trading Volume"
AEP,"American Electric Power Company (AEP) Prices, Dividends, Splits and Trading Volume"
ADBE,"Adobe Systems Incorporated (ADBE) Prices, Dividends, Splits and Trading Volume"
AET,"Aetna Inc. (AET) Prices, Dividends, Splits and Trading Volume"
ADI,"Analog Devices Inc. (ADI) Prices, Dividends, Splits and Trading Volume"
ADM,"Archer Daniels Midland Co. (ADM) Prices, Dividends, Splits and Trading Volume"
ADS,"Alliance Data Systems Corp. (ADS) Prices, Dividends, Splits and Trading Volume"
AIV,"Apartment Investment & Management Co. (AIV) Prices, Dividends, Splits and Trading Volume"
ADT,"ADT Corp (ADT) Prices, Dividends, Splits and Trading Volume"
ALL,"Allstate Corp. (ALL) Prices, Dividends, Splits and Trading Volume"
AES,"AES Corp. (AES) Prices, Dividends, Splits and Trading Volume"
ALTR,"Altera Corporation (ALTR) Prices, Dividends, Splits and Trading Volume"
ALXN,"Alexion Pharmaceuticals Inc. (ALXN) Prices, Dividends, Splits and Trading Volume"
AFL,"American Family Life Assurance Co. of Columbus (AFL) Prices, Dividends, Splits and Trading Volume"
AMAT,"Applied Materials Inc. (AMAT) Prices, Dividends, Splits and Trading Volume"
AIG,"American International Group Inc (AIG) Prices, Dividends, Splits and Trading Volume"
AMGN,"Amgen Inc (AMGN) Prices, Dividends, Splits and Trading Volume"
AIZ,"Assurant Inc. (AIZ) Prices, Dividends, Splits and Trading Volume"
AMT,"American Tower Corp (New) (AMT) Prices, Dividends, Splits and Trading Volume"
AKAM,"Akamai Technologies Inc. (AKAM) Prices, Dividends, Splits and Trading Volume"
ALLE,"Allegion Plc (ALLE) Prices, Dividends, Splits and Trading Volume"
AME,"AMETEK Inc. (AME) Prices, Dividends, Splits and Trading Volume"
AMP,"Ameriprise Financial Inc (AMP) Prices, Dividends, Splits and Trading Volume"
AMZN,"Amazon.com Inc. (AMZN) Prices, Dividends, Splits and Trading Volume"
A,"Agilent Technologies Inc. (A) Prices, Dividends, Splits and Trading Volume"
AN,"AutoNation Inc. (AN) Prices, Dividends, Splits and Trading Volume"
AON,"Aon Plc (AON) Prices, Dividends, Splits and Trading Volume"
APD,"Air Products & Chemicals Inc. (APD) Prices, Dividends, Splits and Trading Volume"
APH,"Amphenol Corp. (APH) Prices, Dividends, Splits and Trading Volume"
AVB,"Avalonbay Communities Inc. (AVB) Prices, Dividends, Splits and Trading Volume"
AVP,"Avon Products, Inc. (AVP) Prices, Dividends, Splits and Trading Volume"
APA,"Apache Corp. (APA) Prices, Dividends, Splits and Trading Volume"
APC,"Anadarko Petroleum Corp (APC) Prices, Dividends, Splits and Trading Volume"
AXP,"American Express Co. (AXP) Prices, Dividends, Splits and Trading Volume"
AZO,"AutoZone Inc. (AZO) Prices, Dividends, Splits and Trading Volume"
BA,"The Boeing Co. (BA) Prices, Dividends, Splits and Trading Volume"
ARG,"Airgas Inc. (ARG) Prices, Dividends, Splits and Trading Volume"
BAC,"Bank of America Corp. (BAC) Prices, Dividends, Splits and Trading Volume"
ATI,"Allegheny Technologies Incorporated (ATI) Prices, Dividends, Splits and Trading Volume"
AVY,"Avery Dennison Corp. (AVY) Prices, Dividends, Splits and Trading Volume"
BCR,"Bard (C.R.) Inc. (BCR) Prices, Dividends, Splits and Trading Volume"
BEAM,"Beam Inc. (BEAM) Prices, Dividends, Splits and Trading Volume"
BEN,"Franklin Resources Inc. (BEN) Prices, Dividends, Splits and Trading Volume"
BAX,"Baxter International Inc. (BAX) Prices, Dividends, Splits and Trading Volume"
BBBY,"Bed Bath & Beyond Inc. (BBBY) Prices, Dividends, Splits and Trading Volume"
BBT,"BB&T Corp. (BBT) Prices, Dividends, Splits and Trading Volume"
BIIB,"Biogen Inc (BIIB) Prices, Dividends, Splits and Trading Volume"
BBY,"Best Buy Inc (BBY) Prices, Dividends, Splits and Trading Volume"
BLL,"Ball Corp (BLL) Prices, Dividends, Splits and Trading Volume"
BDX,"Becton Dickinson & Co. (BDX) Prices, Dividends, Splits and Trading Volume"
BMS,"Bemis Co Inc (BMS) Prices, Dividends, Splits and Trading Volume"
BRCM,"Broadcom Corp. (BRCM) Prices, Dividends, Splits and Trading Volume"
BF_B,"Brown-Forman Corp. (BF_B) Prices, Dividends, Splits and Trading Volume"
BHI,"Baker Hughes Inc. (BHI) Prices, Dividends, Splits and Trading Volume"
BSX,"Boston Scientific Corp. (BSX) Prices, Dividends, Splits and Trading Volume"
BK,"Bank of New York Mellon Corp (BK) Prices, Dividends, Splits and Trading Volume"
BWA,"BorgWarner Inc. (BWA) Prices, Dividends, Splits and Trading Volume"
BLK,"BlackRock Inc. (BLK) Prices, Dividends, Splits and Trading Volume"
BXP,"Boston Properties Inc. (BXP) Prices, Dividends, Splits and Trading Volume"
CA,"CA Technologies (CA) Prices, Dividends, Splits and Trading Volume"
BMY,"Bristol-Myers Squibb Co. (BMY) Prices, Dividends, Splits and Trading Volume"
BRK_B,"Berkshire Hathaway Inc. Cl B (BRK_B) Prices, Dividends, Splits and Trading Volume"
CAT,"Caterpillar Inc. (CAT) Prices, Dividends, Splits and Trading Volume"
BTU,"Peabody Energy Corp (BTU) Prices, Dividends, Splits and Trading Volume"
CBS,"CBS Corp (CBS) Prices, Dividends, Splits and Trading Volume"
C,"Citigroup Inc (C) Prices, Dividends, Splits and Trading Volume"
CCE,"Coca-Cola Enterprises Inc (CCE) Prices, Dividends, Splits and Trading Volume"
CCI,"Crown Castle International Corp (New) (CCI) Prices, Dividends, Splits and Trading Volume"
CAG,"ConAgra Foods Inc. (CAG) Prices, Dividends, Splits and Trading Volume"
CAH,"Cardinal Health Inc. (CAH) Prices, Dividends, Splits and Trading Volume"
CAM,"Cameron International Corp. (CAM) Prices, Dividends, Splits and Trading Volume"
CERN,"Cerner Corporation (CERN) Prices, Dividends, Splits and Trading Volume"
CB,"Chubb Corp (CB) Prices, Dividends, Splits and Trading Volume"
CFN,"CareFusion Corporation (CFN) Prices, Dividends, Splits and Trading Volume"
CBG,"CBRE Group (CBG) Prices, Dividends, Splits and Trading Volume"
CHK,"Chesapeake Energy Corp. (CHK) Prices, Dividends, Splits and Trading Volume"
CI,"Cigna Corp (CI) Prices, Dividends, Splits and Trading Volume"
CCL,"Carnival Corp. Paired Ctf 1 Com Carnival Corp & 1 Tr Sh (CCL) Prices, Dividends, Splits and Trading Volume"
CINF,"Cincinnati Financial Corp. (CINF) Prices, Dividends, Splits and Trading Volume"
CELG,"Celgene Corp. (CELG) Prices, Dividends, Splits and Trading Volume"
CL,"Colgate-Palmolive Co. (CL) Prices, Dividends, Splits and Trading Volume"
CF,"CF Industries Holdings Inc (CF) Prices, Dividends, Splits and Trading Volume"
CMCSA,"Comcast Corp (CMCSA) Prices, Dividends, Splits and Trading Volume"
CME,"CME Group Inc (CME) Prices, Dividends, Splits and Trading Volume"
CHRW,"Robinson (C.H.) Worldwide Inc. (CHRW) Prices, Dividends, Splits and Trading Volume"
CMG,"Chipotle Mexican Grill (CMG) Prices, Dividends, Splits and Trading Volume"
CMS,"CMS Energy Corp (CMS) Prices, Dividends, Splits and Trading Volume"
CLF,"Cliffs Natural Resources Inc. (CLF) Prices, Dividends, Splits and Trading Volume"
CLX,"Clorox Co. (CLX) Prices, Dividends, Splits and Trading Volume"
COF,"Capital One Financial Corp (COF) Prices, Dividends, Splits and Trading Volume"
CMA,"Comerica Inc. (CMA) Prices, Dividends, Splits and Trading Volume"
COL,"Rockwell Collins Inc. (COL) Prices, Dividends, Splits and Trading Volume"
CMI,"Cummins Inc. (CMI) Prices, Dividends, Splits and Trading Volume"
COST,"Costco Wholesale Corp (COST) Prices, Dividends, Splits and Trading Volume"
CNP,"CenterPoint Energy Inc (CNP) Prices, Dividends, Splits and Trading Volume"
CNX,"CONSOL Energy Inc (CNX) Prices, Dividends, Splits and Trading Volume"
COG,"Cabot Oil & Gas Corp. (COG) Prices, Dividends, Splits and Trading Volume"
COH,"Coach Inc. (COH) Prices, Dividends, Splits and Trading Volume"
CSX,"CSX Corp (CSX) Prices, Dividends, Splits and Trading Volume"
COP,"ConocoPhillips (COP) Prices, Dividends, Splits and Trading Volume"
CTL,"CenturyLink Inc. (CTL) Prices, Dividends, Splits and Trading Volume"
COV,"Covidien plc. (COV) Prices, Dividends, Splits and Trading Volume"
CPB,"Campbell Soup Co. (CPB) Prices, Dividends, Splits and Trading Volume"
CTXS,"Citrix Systems Inc. (CTXS) Prices, Dividends, Splits and Trading Volume"
CRM,"Salesforce.com Inc. (CRM) Prices, Dividends, Splits and Trading Volume"
CSC,"Computer Sciences Corporation (CSC) Prices, Dividends, Splits and Trading Volume"
CVS,"CVS Health Corp (CVS) Prices, Dividends, Splits and Trading Volume"
